4,490,232016911,-;virtpc: set Wp=2000ns
4,491,232016913,-;virtpc: set Wc=2000ns
4,492,232016914,-;virtpc: set Yp=5000ns
4,493,232016914,-;virtpc: set Yc=5000ns
4,494,232016915,-;virtpc: set D=60ns
4,495,237016906,-;PC: 1320 np 1999 wp
4,496,242016898,-;PC: 1290 np 1999 wp
4,497,247016891,-;PC: 1266 np 1999 wp
4,498,252016883,-;PC: 1266 np 1999 wp
4,499,257016876,-;PC: 1274 np 1999 wp
4,500,262016869,-;PC: 1296 np 1999 wp
4,501,267016862,-;PC: 1319 np 1999 wp
4,502,272016854,-;PC: 1275 np 1999 wp
4,503,277016847,-;PC: 1267 np 1999 wp
4,504,282016840,-;PC: 1275 np 1999 wp
4,505,287016834,-;PC: 1278 np 1999 wp
4,506,291731219,-;virtpc: producer stops
4,507,291823822,-;virtpc: set Wp=2007ns
4,508,291823824,-;virtpc: set Wc=2000ns
4,509,291823825,-;virtpc: set Yp=5000ns
4,510,291823826,-;virtpc: set Yc=5000ns
4,511,291823826,-;virtpc: set D=60ns
4,512,296823819,-;PC: 1000 np 2006 wp
4,513,301823812,-;PC: 997 np 2006 wp
4,514,306823805,-;PC: 996 np 2006 wp
4,515,311823797,-;PC: 996 np 2006 wp
4,516,316823790,-;PC: 996 np 2006 wp
4,517,321823784,-;PC: 996 np 2006 wp
4,518,326823776,-;PC: 996 np 2006 wp
4,519,331823770,-;PC: 995 np 2006 wp
4,520,336823763,-;PC: 995 np 2006 wp
4,521,341823758,-;PC: 996 np 2006 wp
4,522,346823750,-;PC: 996 np 2006 wp
4,523,351538129,-;virtpc: producer stops
4,524,351630701,-;virtpc: set Wp=2015ns
4,525,351630703,-;virtpc: set Wc=2000ns
4,526,351630704,-;virtpc: set Yp=5000ns
4,527,351630704,-;virtpc: set Yc=5000ns
4,528,351630705,-;virtpc: set D=60ns
4,529,356630696,-;PC: 1023 np 2014 wp
4,530,361630689,-;PC: 1026 np 2014 wp
4,531,366630681,-;PC: 1023 np 2014 wp
4,532,371630674,-;PC: 1025 np 2014 wp
4,533,376630667,-;PC: 1026 np 2014 wp
4,534,381630660,-;PC: 1028 np 2014 wp
4,535,386630653,-;PC: 1025 np 2014 wp
4,536,391630646,-;PC: 1021 np 2014 wp
4,537,396630639,-;PC: 1020 np 2014 wp
4,538,401630633,-;PC: 1022 np 2014 wp
4,539,406630625,-;PC: 1022 np 2014 wp
4,540,411345008,-;virtpc: producer stops
4,541,411437688,-;virtpc: set Wp=2022ns
4,542,411437690,-;virtpc: set Wc=2000ns
4,543,411437691,-;virtpc: set Yp=5000ns
4,544,411437691,-;virtpc: set Yc=5000ns
4,545,411437692,-;virtpc: set D=60ns
4,546,416437681,-;PC: 995 np 2021 wp
4,547,421437673,-;PC: 993 np 2021 wp
4,548,426437664,-;PC: 990 np 2021 wp
4,549,431437655,-;PC: 990 np 2021 wp
4,550,436437647,-;PC: 990 np 2021 wp
4,551,441437639,-;PC: 990 np 2021 wp
4,552,446437631,-;PC: 990 np 2021 wp
4,553,451437623,-;PC: 989 np 2021 wp
4,554,456437614,-;PC: 992 np 2021 wp
4,555,461437606,-;PC: 992 np 2021 wp
4,556,466437598,-;PC: 990 np 2021 wp
4,557,471151996,-;virtpc: producer stops
4,558,471244546,-;virtpc: set Wp=2030ns
4,559,471244548,-;virtpc: set Wc=2000ns
4,560,471244548,-;virtpc: set Yp=5000ns
4,561,471244549,-;virtpc: set Yc=5000ns
4,562,471244550,-;virtpc: set D=60ns
4,563,476244541,-;PC: 997 np 2029 wp
4,564,481244534,-;PC: 995 np 2029 wp
4,565,486244529,-;PC: 994 np 2029 wp
4,566,491244523,-;PC: 993 np 2029 wp
4,567,496244515,-;PC: 996 np 2029 wp
4,568,501244508,-;PC: 997 np 2029 wp
4,569,506244501,-;PC: 996 np 2029 wp
4,570,511244495,-;PC: 994 np 2029 wp
4,571,516244488,-;PC: 994 np 2029 wp
