4,3384290,181409169432,-;virtpc: set Wp=1999ns
4,3384291,181414169571,-;PC: 496758 items/s 517 kicks/s 0 sleeps/s 7 intrs/s 650 latency
4,3384292,181419169710,-;PC: 498121 items/s 506 kicks/s 0 sleeps/s 7 intrs/s 672 latency
4,3384293,181424169847,-;PC: 498528 items/s 406 kicks/s 0 sleeps/s 7 intrs/s 692 latency
4,3384294,181429169986,-;PC: 498117 items/s 483 kicks/s 0 sleeps/s 7 intrs/s 679 latency
4,3384295,181434170123,-;PC: 496628 items/s 492 kicks/s 0 sleeps/s 7 intrs/s 686 latency
4,3384296,181439170260,-;PC: 498221 items/s 452 kicks/s 0 sleeps/s 7 intrs/s 709 latency
4,3384297,181444170397,-;PC: 497746 items/s 457 kicks/s 0 sleeps/s 7 intrs/s 706 latency
4,3384298,181449170536,-;PC: 498170 items/s 452 kicks/s 0 sleeps/s 7 intrs/s 694 latency
4,3384299,181454170673,-;PC: 498441 items/s 404 kicks/s 0 sleeps/s 7 intrs/s 688 latency
4,3384300,181459170812,-;PC: 498199 items/s 473 kicks/s 0 sleeps/s 7 intrs/s 690 latency
4,3384301,181464170949,-;PC: 498241 items/s 479 kicks/s 0 sleeps/s 7 intrs/s 683 latency
4,3384302,181468949689,-;virtpc: set Wp=2006ns
4,3384303,181473949829,-;PC: 491774 items/s 5242 kicks/s 0 sleeps/s 7 intrs/s 677 latency
4,3384304,181478949968,-;PC: 490585 items/s 4900 kicks/s 0 sleeps/s 7 intrs/s 724 latency
4,3384305,181483950106,-;PC: 492663 items/s 4354 kicks/s 0 sleeps/s 7 intrs/s 810 latency
4,3384306,181488950243,-;PC: 491728 items/s 5301 kicks/s 0 sleeps/s 7 intrs/s 667 latency
4,3384307,181493950380,-;PC: 491781 items/s 5279 kicks/s 0 sleeps/s 7 intrs/s 670 latency
4,3384308,181498950517,-;PC: 491845 items/s 5230 kicks/s 0 sleeps/s 7 intrs/s 675 latency
4,3384309,181503950656,-;PC: 489955 items/s 5205 kicks/s 0 sleeps/s 7 intrs/s 678 latency
4,3384310,181508950795,-;PC: 491666 items/s 5302 kicks/s 0 sleeps/s 7 intrs/s 666 latency
4,3384311,181513950933,-;PC: 491837 items/s 5231 kicks/s 0 sleeps/s 7 intrs/s 672 latency
4,3384312,181518951071,-;PC: 491795 items/s 5214 kicks/s 0 sleeps/s 7 intrs/s 679 latency
4,3384313,181523951209,-;PC: 491701 items/s 5293 kicks/s 0 sleeps/s 7 intrs/s 670 latency
4,3384314,181528730149,-;virtpc: set Wp=2014ns
4,3384315,181533730287,-;PC: 485644 items/s 10064 kicks/s 0 sleeps/s 7 intrs/s 707 latency
4,3384316,181538730425,-;PC: 484451 items/s 9921 kicks/s 0 sleeps/s 7 intrs/s 717 latency
4,3384317,181543730562,-;PC: 485840 items/s 9914 kicks/s 0 sleeps/s 7 intrs/s 718 latency
4,3384318,181548730699,-;PC: 485724 items/s 10052 kicks/s 0 sleeps/s 7 intrs/s 709 latency
4,3384319,181553730836,-;PC: 485676 items/s 10098 kicks/s 0 sleeps/s 7 intrs/s 705 latency
4,3384320,181558730973,-;PC: 483887 items/s 9947 kicks/s 0 sleeps/s 7 intrs/s 714 latency
4,3384321,181563731112,-;PC: 485406 items/s 10233 kicks/s 0 sleeps/s 7 intrs/s 698 latency
4,3384322,181568731249,-;PC: 485526 items/s 10098 kicks/s 0 sleeps/s 7 intrs/s 707 latency
4,3384323,181573731387,-;PC: 485728 items/s 10033 kicks/s 0 sleeps/s 7 intrs/s 708 latency
4,3384324,181578731524,-;PC: 485747 items/s 10003 kicks/s 0 sleeps/s 7 intrs/s 714 latency
4,3384325,181583731661,-;PC: 485773 items/s 9988 kicks/s 0 sleeps/s 7 intrs/s 714 latency
4,3384326,181588510581,-;virtpc: set Wp=2021ns
4,3384327,181593510720,-;PC: 479928 items/s 14461 kicks/s 0 sleeps/s 7 intrs/s 698 latency
4,3384328,181598510859,-;PC: 478786 items/s 14237 kicks/s 0 sleeps/s 7 intrs/s 711 latency
4,3384329,181603510996,-;PC: 480051 items/s 14345 kicks/s 0 sleeps/s 7 intrs/s 704 latency
4,3384330,181608511134,-;PC: 480116 items/s 14308 kicks/s 0 sleeps/s 7 intrs/s 711 latency
4,3384331,181613511271,-;PC: 479990 items/s 14425 kicks/s 0 sleeps/s 7 intrs/s 699 latency
4,3384332,181618511407,-;PC: 478384 items/s 14129 kicks/s 0 sleeps/s 7 intrs/s 712 latency
4,3384333,181623511544,-;PC: 480215 items/s 14179 kicks/s 0 sleeps/s 7 intrs/s 713 latency
4,3384334,181628511680,-;PC: 480042 items/s 14187 kicks/s 0 sleeps/s 7 intrs/s 711 latency
4,3384335,181633511818,-;PC: 479851 items/s 14448 kicks/s 0 sleeps/s 7 intrs/s 694 latency
4,3384336,181638511956,-;PC: 480109 items/s 14218 kicks/s 0 sleeps/s 7 intrs/s 708 latency
4,3384337,181643512094,-;PC: 480077 items/s 14217 kicks/s 0 sleeps/s 7 intrs/s 708 latency
4,3384338,181648290656,-;virtpc: set Wp=2029ns
4,3384339,181653290795,-;PC: 472436 items/s 19909 kicks/s 0 sleeps/s 1152 intrs/s 655 latency
4,3384340,181658290931,-;PC: 473031 items/s 19233 kicks/s 0 sleeps/s 7 intrs/s 689 latency
4,3384341,181663291068,-;PC: 472084 items/s 19632 kicks/s 0 sleeps/s 7 intrs/s 672 latency
4,3384342,181668291205,-;PC: 472612 items/s 19667 kicks/s 0 sleeps/s 7 intrs/s 671 latency
4,3384343,181673291342,-;PC: 472202 items/s 20116 kicks/s 0 sleeps/s 7 intrs/s 654 latency
4,3384344,181678291478,-;PC: 472734 items/s 19646 kicks/s 0 sleeps/s 7 intrs/s 672 latency
4,3384345,181683291615,-;PC: 471463 items/s 19602 kicks/s 0 sleeps/s 7 intrs/s 672 latency
4,3384346,181688291753,-;PC: 472701 items/s 19694 kicks/s 0 sleeps/s 7 intrs/s 670 latency
4,3384347,181693291890,-;PC: 472256 items/s 20106 kicks/s 0 sleeps/s 7 intrs/s 654 latency
4,3384348,181698292027,-;PC: 472952 items/s 19488 kicks/s 0 sleeps/s 7 intrs/s 678 latency
4,3384349,181703292164,-;PC: 473108 items/s 19448 kicks/s 0 sleeps/s 7 intrs/s 680 latency
4,3384350,181708070910,-;virtpc: set Wp=2037ns
4,3384351,181713071048,-;PC: 468260 items/s 23759 kicks/s 0 sleeps/s 7 intrs/s 686 latency
4,3384352,181718071185,-;PC: 467224 items/s 23476 kicks/s 0 sleeps/s 7 intrs/s 694 latency
4,3384353,181723071321,-;PC: 468617 items/s 23464 kicks/s 0 sleeps/s 7 intrs/s 696 latency
4,3384354,181728071457,-;PC: 468690 items/s 23443 kicks/s 0 sleeps/s 7 intrs/s 698 latency
4,3384355,181733071597,-;PC: 467436 items/s 23717 kicks/s 0 sleeps/s 7 intrs/s 686 latency
4,3384356,181738071735,-;PC: 466702 items/s 23464 kicks/s 0 sleeps/s 7 intrs/s 693 latency
4,3384357,181743071872,-;PC: 468652 items/s 23235 kicks/s 0 sleeps/s 7 intrs/s 704 latency
